title,author,publisher,isbn,edition,category,language,publication_date,audience,page_count,is_series,series,format,price,description,image
جافا للمبتدئين ,نبيل طباع,Ray pub (دار شعاع),12167,علوم حاسوب وانترنت,الكتروني,عربي,2010,مبرمجين,200,لا,1,1,4,"لقد تم تأليف هذا الكتاب ليساعدك على تعلم جافا بسرعة و بشكل جيد.

لا يفترض الكتاب وجود أي خلفية مسبقة في البرمجة. فإذا كنت مبتدئاً تماماً، ستجد أن هذا الكتاب يشرح المفاهيم المعقدة بطريقة سهلة الفهم. و إذا كنت خبيرا في البرمجة ولكن جديداً في جافا، حينها سيوفر لك هذا الكتاب المعلومات الكافية لتبدأ البرمجة في جافا مباشرة.

لقد جرى اختيار المواضيع بعناية لتعطيك عرضاً شاملاً عن جافا، بدون إغراقك بقدر كبير من المعلومات. بالإضافة إلى ذلك، تم شرح ميزات جديدة في جافا. و تم اختيار جميع الأمثلة في هذا الكتاب بعناية لتوضيح كل موضوع بحيث تستطيع الحصول على فهم شامل وعميق للغة.

و كما يقال فإن ""أفضل طريقة لتعلم أي شيء هي ممارسته"". يأتي هذا الكتاب مع مشروع جيد حيث ستبدأ من بداية الكتاب كتابة كود جافات. حيث سيجري من البداية توجيهك لكتابة كود جافا لبرمجة إدارة عضوية. حيث يستخدم هذا المشروع المفاهيم التي تم شرحها في هذا الكتاب ويعطيك فرصة لترى كيف ترتبط هذه المفاهيم وتتكامل بعضها مع بعض.",https://drive.google.com/open?id=18pOBB85_Owr1otILJO3xB9YqOMCbMRQ2
احترف Python,محمد شيخو معمو,Ray pub (دار شعاع),12161,علوم حاسوب وانترنت,الكتروني,عربي,2012,مبرمجين,344,لا,1,1,7.5,"ينقلك هذا الكتاب إلى عالم احتراف لغة Python

سوف تجد فيه جميع المفاهيم المتقدمة التي تحتاج إليها للعمل مع لغة Python ناهيك عن المفاهيم التي تميز Python عن غيرها من لغات البرمجة الأخرى، ومنها نذكر:

العمل مع قواعد بيانات MySQL ( ماي اس كيو ال) خلال Python's DB-API
الارتباط مع عبارة with
بروتوكول إدارة السياق Context Management Protocol
الأصناف classes
جلسات عمل الويب sessions وتقييد الوصول إلى صفحات الويب
معالجة الاستثناءات
حلقات for ومفهوم الاستيعاب Comprehension
مفهوم مولد التوابع function generator
وغيرها من التفاصيل الدقيقة التي تجعلك محترفاً في لغة   Python وتقودك لأن تكون عضواً مرموقاً في مجتمع مبرمجي Python",https://drive.google.com/open?id=1iQrFW53GVUo2MtYGT-uGYWaXgULgvL3k
احترف Arduino,المهندس ظافر محمود,Ray pub (دار شعاع),20080,علوم حاسوب وانترنت,الكتروني,عربي,2014,مبرمجين,312,لا,1,1,5,"يشكل هذا الكتاب دليلاً لتعلُّم العمل على نظام Arduino دون الحاجة لأية معرفة مسبقة بالإلكترونيات أو البرمجة.

ومع الأشكال والشروحات التفصيلية خطوةً خطوة يمضي الكتاب قدماً مع القارئ ابتداءً من بناء دارات بسيطة على بطاقة التوصيل وصولاً إلى ضبط بيئة تطوير Arduino المتكاملة وكتابة البرامج لتعمل على Arduino أردوينو.

سيتم تعريف القارئ بأساسيات الإلكترونيات ومفاهيم البرمجة بالإضافة إلى المداخل والمخارج الرقمية والتماثلية. يتم التركيز بين دفتي هذا الكتاب أيضاً على ممارسات كشف المشاكل وإصلاحها بحيث يتعلم المبتدؤون ماذا يفعلون إن لم تعمل داراتهم أو برامجهم.

بعد إنجاز مشاريع هذا الكتاب يكون قد تشكَّل لدى القارئ أساس متين يمكِّنه من بناء مشاريعه الخاصة باستخدام Arduino.",https://drive.google.com/open?id=1xneCih2lOe1Mn6zKcmXebagnDs-LvVq4
لطفل أكثر ذكاء,جمال حاج نجيب,Ray pub (دار شعاع),80055,تربية وعلم نفس,الكتروني,عربي,2019,عامة الناس,264,لا,1,1,3,"يحتوي هذا الكتاب على معلومات يمكن أن تصنف وفق محورين أساسيين:

المحور الأول: معلومات وحقائق حول الطفل, منذ أن يكون جنيناً في بطن أمه, إلى أن يبلغ من العمر ستة شهور.

المحور الثاني: تمارين وتدريبات تساعد على تنمية ذكاء الطفل وتنشط حواسه بحيث يفوق أقرانه في المستقبل.

وأخيراً فإننا نرجو أن نكون قد أضفنا مساهمة مفيدة إلى المكتبة العربية وشكراً.",https://drive.google.com/open?id=18dzJTE3LsiskRs6yQO7zalsg2Niebhab
الإرشاد التربوي للطفل,أنس شكشك,Ray pub (دار شعاع),80021,تربية وعلم نفس ,الكتروني,عربي,2022,عامة الناس,176,FALSE,1,1,2.5,"Dar Shoaa
عرض عربة التسوق 
تربية وعلم نفس
الإرشاد التربوي للطفلالإرشاد التربوي للطفل
 
الإرشاد التربوي للطفل
المؤلف:
أنس شكشك
2.50 $
الناشر:
دار شعاع
الصفحات:
176
رقم المخزون:
80021
اختر نوع الكتاب المطلوب required
 كتاب الكتروني عالي الدقة (ننصح به لسعره المخفض ولا يوجد أجور شحن وسيصلك الكتاب خلال يوم واحد إلى بريدك الالكتروني)
 كتاب ورقي مطبوع (سيتم إضافة أجور الشحن لاحقا ومدة التوصيل بين 5 إلى 15 يوم عمل)
العدد 
1
 أضف إلى عربة التسوق
Facebook البريد الإلكتروني Twitter LinkedIn Pinterest
جدول المحتويات
الفصل المجاني
يدخل الإرشاد التربوي ضمن موضوع الخدمات النفسية الفردية لأن التربية تُعنى بالطفل الذي ينمو ويتطور تحت تأثيرات خارجية وداخلية. وهدف التربية تنمية الشخصية حتى تعبر عن نفسها تعبيراً كاملاً سوياً.

في الفصل الأول يعرض الكتاب اضطرابات النوم عند الأطفال ويبين الأخطاء التي يقع فيها الآباء فيما يتعلق باضطرابات النوم عند أطفالهم ثم ينتقل البحث إلى معالجة الأفكار الخيالية التي تسمى أحلام يقظة ليدرس أسبابها ويحدد مضمونها.

كما يتناول الكتاب نقص الدافعية للتعلم عند الأطفال والعوامل المؤثرة في انخفاض الدافعية وعلاجها ويتحدث عن صعوبات التعلم كونها اضطراب في القدرة الإدراكية وقصور في التناسق يرجع لاضطراب العمليات العقلية الأساسية التي تشمل الانتباه والتذكر وتكوين المفهوم ويظهر صداه في عدم القدرة على تعلم القراءة والكتابة والحساب... وبالتالي صعوبة التحصيل الدراسي.

ثم يستعرض الكتاب صعوبات تعلم القراءة عند الطفل ومفهوم العسر القرائي والمراحل النمائية لتعلم القراءة. إضافة إلى دراسة صعوبة تعلم الحساب وما يترتب عليها من مشكلات دراسة الجبر والهندسة وإيجاد الإرشادات والعلاجات الملائمة لحل مشكلة هذه الصعوبات.

كما يشرح الكتاب الصعوبات اللغوية عند الأطفال والتطور الطبيعي للكلام ويتساءل كيف تصدر الأصوات؟ ما هي مظاهر وأسباب تأخر الكلام عند الأطفال؟. ثم يتحدث عن عيوب النطق ومشكلاته والإعاقة في الكلام. ونتبين في الكتاب تكوين اللفظ السليم والتدابير الوقائية المناسبة وآلية النطق وتطور العمليات العصبية والنفسية في النشاط اللغوي.

أخيراً يستعرض الكتاب أنواع عيوب النطق وأهمها اللجلجة في الكلام وأعراضها وأسبابها وعلاجها ثم يدرس التلعثم باعتباره أكثر عيوب النطق شيوعاً عند الأطفال وأهم مشكلاته وتقويمه ويتناول الكتاب بالبحث الصعوبات الخاصة باللغة الشفوية وارتباطها بالعمليات النفسية النمائية والصلة الوثيقة ما بين التطور اللغوي والتطور العقلي.",https://drive.google.com/open?id=1PqfxLGGDGIAajWbJtKHcLdSx0AXL15wr
الأمن السيبراني,محمد شيخو معمو,Ray pub (دار شعاع),14050,علوم حاسوب وانترنت ,ورقي,عربي,2023,مبرمجين,432,لا,1,1,7,"كيف تحمي أعمالك التجارية وأسرارك الخاصة وتبقى في أمان!

هل لديك تصور عن التهديدات السيبرانية المنتشرة من حولك؟ هل تعلم كيف تدافع عن نفسك وعن أعمالك التجارية ضدها؟ ما الذي يمكنك أن تفعله إذا ما تم اختراق معلوماتك الشخصية وبيانات عملك؟

يقدم لك هذا الكتاب ""الأمن السيبراني"" كل المعلومات التي تحتاج إليها بلغة يمكنك أن تفهمها مهما كان مستواك المعرفي فيما يخص الأمن السيبراني.

يبدأ الكتاب بشرح لأنواع التهديدات المرتبط بالأمن السيبراني وكيفية عملها، ومن ثم يبين لك كيفية تحديد نقاط الضعف لديك من حيث الأمن السيبراني، ويشرح لك كيفية التخلص منها.

سوف تجد جميع الخطوات اللازمة من أجل التعافي من اختراق في حال وقوعه، كما يخصص الكتاب جزءاً كبيراً لشرح الطرق الواجب اتباعها من أجل تأمين عملك التجاري.

فكن مستعداً، وكن آمناً!",https://drive.google.com/open?id=13RC8w8f54f8TOAKHsh5nPafzm4MRE0RD
Graphic Design - Aesthetic Foundations,Abdul Wahab Kassir,Ray pub (دار شعاع),15100,تكنولوجيا,الكتروني,عربي,2014,مبرمجين,256,لا,1,1,4.5,"The world of graphic design has witnessed rapid changes that do not stop or slow down, in order to keep pace with the technical development in software on the one hand, and to meet the requirements of the market on the other hand. These factors impose on the designer the continuous support by developing his professional capabilities in artistic formation and acquiring the necessary aesthetic and creative techniques in order to produce an artwork that is commensurate with the required idea and the goal to be achieved by the customer.",https://drive.google.com/open?id=1DC6FxDht7CkoYWuyscnMY-whg88BvpGH
Engineering design using SolidWorks,Zafer Mahmoud ,Ray pub (دار شعاع),15067,تكنولوجيا,الكتروني,عربي,2023,مبرمجين,640,لا,1,1,5.75,"This book focuses on providing a solid foundation in the use of SolidWorks software through a hands-on approach based on examples contained in the projects built in a step-by-step manner. The projects of this book were built according to a step-by-step educational method, as the objectives required of each project were included at its beginning, in addition to an introductory overview, and each project ends with a review of what was created in it and questions about the topics covered in it.",https://drive.google.com/open?id=1d0vjaezDF3gPzXWzy9FTCXucg9xa19oc
التحليل الاقتصادي الجزئي,ابراهيم شيخ بندر,Ray pub (دار شعاع),40015,ادارة,ورقي,عربي,2021,اقتصاديين,440,لا,1,1,4.75,"يتوسع كتاب تحليل الاقتصاد الجزئي في مواضيع الدالة العكسية للطلب واشتقاق خط الطلب وحدود الميزانية وتفضيلات المستهلك ونظرية سلوك المستهلك والمنفعة ومنحنيات السواء والمعدل الحدي للإحلال وجدول الاستبدال والإشباع والتفضيل الطبيعي وسوق القيم المنقولة والسلوك الاحتكاري والثروات القابلة للنفاذ وأسواق عوامل الإنتاج وتحليل إضافي للمرونة....

أما بالنسبة لنظرية الإنتاج فقد عرض الكتاب سلوك المشروع والتكنولوجيا والخيار التقني والعرض في المشروع والربح وفائض المنتج والعرض في القطاع وعوائد عوامل الإنتاج وطرق توزيعها. 

يتناول الكتاب أيضا مواضيع لم يتطرق إليها إلا القليل من كتب التحليل الجزئي مثل تكنولوجيا المعلومات وقد عرض في هذا القسم بعض النماذج الاقتصادية المتعلقة بقنوات المعلومات وكيفية تقاسم منتجاتها.

ومن المواضيع الجديدة أيضاً التي يعرضها الكتاب موضوع عدم اليقين بالنسبة للمستهلك والذي يتضمن أيضاً دالة المنفعة والاحتمالات والطلب على التأمين وكيفية توزيع الأخطار وقياسها وتقديرها ودور الأسواق المالية (البورصة) في ذلك، كما تم إدخال نظرية الألعاب إلى الكتاب وذلك من أجل تعويد الدارس منذ البدء على إعمال الفكر والتحليل لاستيعاب الأمور وفهمها من أجل معالجة القضايا والمواضيع التي يواجهها الطالب في دراساته الاقتصادية. يتضمن الكتاب جانباً عملياً وأمثلة تطبيقية وأسئلة توضح العديد من الظواهر الاقتصادية.""",https://drive.google.com/open?id=1AzKXOoog6ckXrtH-Fd7Jw5bVDsgyp-Xt
الهندسة الإنشائية - أساسيات التحليل الإنشائي - الكتاب الأول المؤلف: المهندس نادر محمود,نادر محمود,Ray pub (دار شعاع),30064,ادارة,ورقي,عربي,2018,اقتصاديين,352,نعم,1,1,6.25,"سوف يتضمن المرجع طرائق التحليل الإنشائي مثل: تحليل الترتيب الأول، وتحليل الترتيب الثاني، والتحليل المرن، والتحليل اللا مرن، وتحليل المفصل اللدن، وتحليل المنطقة اللدنة، وتحليل الاستقرار، والتحليل الستاتيكي، والتحليل الديناميكي، واستعراض لطرق نمذجة المنشآت الهندسية.

كما سيتضمن كتاب التحليل الانشائي شرحا كاملا للديناميكا الإنشائية بمواضيعها المتنوعة و تحليل مختلف الاستجابات لمختلف الأنظمة.

 ",https://drive.google.com/open?id=11HVbcYws2IDFn_9vcaXgns7AjXdWCwVP
